feature,importance
seconds_since_prev,0.24036932377480844
txn_count_1h,0.1468970725994786
amount_zscore,0.11698642947657092
amount_ratio,0.10018888965840105
account_age_days,0.08819886063947695
txn_count_24h,0.058833189216688134
amount,0.05682873196597637
prior_txn_count,0.05021095814146697
log_amount,0.043100907281144685
hour,0.03648832685031691
hist_avg_amount,0.019508116373476384
is_transfer,0.019156358009105458
is_night,0.018623158046252808
is_weekend,0.004609677966836361
prior_failed_count,0.0
