threshold,precision,recall,f1,false_alarms,missed_fraud,caught_fraud
0.05,0.1849,0.9474,0.3095,238,3,54
0.1,0.3636,0.9123,0.52,91,5,52
0.15,0.437,0.9123,0.5909,67,5,52
0.2,0.4952,0.9123,0.642,53,5,52
0.25,0.5795,0.8947,0.7034,37,6,51
0.3,0.6,0.8947,0.7183,34,6,51
0.35,0.6623,0.8947,0.7612,26,6,51
0.4,0.7727,0.8947,0.8293,15,6,51
0.45,0.7727,0.8947,0.8293,15,6,51
0.5,0.7846,0.8947,0.8361,14,6,51
0.55,0.8,0.8421,0.8205,12,9,48
0.6,0.8519,0.807,0.8288,8,11,46
0.65,0.9091,0.7018,0.7921,4,17,40
0.7,0.9487,0.6491,0.7708,2,20,37
0.75,0.9394,0.5439,0.6889,2,26,31
0.8,0.9412,0.2807,0.4324,1,41,16
0.85,1.0,0.1579,0.2727,0,48,9
0.9,1.0,0.0877,0.1613,0,52,5
0.95,0.0,0.0,0.0,0,57,0
